id,stockid_i,date1,time1,lnA_B,close_1,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
0,GBPAUDpro,2016.02.12,09:45,2.03431,2.03431,,,,100,0.0005,0.9,0,0,0,0
1,GBPAUDpro,2016.02.12,09:50,2.03479,2.03479,,,,100,0.0005,0.9,0,0,0,0
2,GBPAUDpro,2016.02.12,09:55,2.03431,2.03431,,,,100,0.0005,0.9,0,0,0,0
3,GBPAUDpro,2016.02.12,10:00,2.03421,2.03421,,,,100,0.0005,0.9,0,0,0,0
4,GBPAUDpro,2016.02.12,10:05,2.03557,2.03557,,,,100,0.0005,0.9,0,0,0,0
5,GBPAUDpro,2016.02.12,10:10,2.03499,2.03499,,,,100,0.0005,0.9,0,0,0,0
6,GBPAUDpro,2016.02.12,10:15,2.03764,2.03764,,,,100,0.0005,0.9,0,0,0,0
7,GBPAUDpro,2016.02.12,10:20,2.03751,2.03751,,,,100,0.0005,0.9,0,0,0,0
8,GBPAUDpro,2016.02.12,10:25,2.03703,2.03703,,,,100,0.0005,0.9,0,0,0,0
9,GBPAUDpro,2016.02.12,10:30,2.03839,2.03839,,,,100,0.0005,0.9,0,0,0,0
10,GBPAUDpro,2016.02.12,10:35,2.03804,2.03804,,,,100,0.0005,0.9,0,0,0,0
11,GBPAUDpro,2016.02.12,10:40,2.03813,2.03813,,,,100,0.0005,0.9,0,0,0,0
12,GBPAUDpro,2016.02.12,10:45,2.03747,2.03747,,,,100,0.0005,0.9,0,0,0,0
13,GBPAUDpro,2016.02.12,10:50,2.03767,2.03767,,,,100,0.0005,0.9,0,0,0,0
14,GBPAUDpro,2016.02.12,10:55,2.03729,2.03729,,,,100,0.0005,0.9,0,0,0,0
15,GBPAUDpro,2016.02.12,11:00,2.03622,2.03622,,,,100,0.0005,0.9,0,0,0,0
16,GBPAUDpro,2016.02.12,11:05,2.03715,2.03715,,,,100,0.0005,0.9,0,0,0,0
17,GBPAUDpro,2016.02.12,11:10,2.03539,2.03539,,,,100,0.0005,0.9,0,0,0,0
18,GBPAUDpro,2016.02.12,11:15,2.03479,2.03479,,,,100,0.0005,0.9,0,0,0,0
19,GBPAUDpro,2016.02.12,11:20,2.0345,2.0345,,,,100,0.0005,0.9,0,0,0,0
20,GBPAUDpro,2016.02.12,11:25,2.03586,2.03586,,,,100,0.0005,0.9,0,0,0,0
21,GBPAUDpro,2016.02.12,11:30,2.03271,2.03271,,,,100,0.0005,0.9,0,0,0,0
22,GBPAUDpro,2016.02.12,11:35,2.0323,2.0323,,,,100,0.0005,0.9,0,0,0,0
23,GBPAUDpro,2016.02.12,11:40,2.03265,2.03265,,,,100,0.0005,0.9,0,0,0,0
24,GBPAUDpro,2016.02.12,11:45,2.03019,2.03019,,,,100,0.0005,0.9,0,0,0,0
25,GBPAUDpro,2016.02.12,11:50,2.03125,2.03125,,,,100,0.0005,0.9,0,0,0,0
26,GBPAUDpro,2016.02.12,11:55,2.03009,2.03009,,,,100,0.0005,0.9,0,0,0,0
27,GBPAUDpro,2016.02.12,12:00,2.03317,2.03317,,,,100,0.0005,0.9,0,0,0,0
28,GBPAUDpro,2016.02.12,12:05,2.0337,2.0337,,,,100,0.0005,0.9,0,0,0,0
29,GBPAUDpro,2016.02.12,12:10,2.03321,2.03321,,,,100,0.0005,0.9,0,0,0,0
30,GBPAUDpro,2016.02.12,12:15,2.03532,2.03532,,,,100,0.0005,0.9,0,0,0,0
31,GBPAUDpro,2016.02.12,12:20,2.03513,2.03513,,,,100,0.0005,0.9,0,0,0,0
32,GBPAUDpro,2016.02.12,12:25,2.036,2.036,,,,100,0.0005,0.9,0,0,0,0
33,GBPAUDpro,2016.02.12,12:30,2.03582,2.03582,,,,100,0.0005,0.9,0,0,0,0
34,GBPAUDpro,2016.02.12,12:35,2.03618,2.03618,,,,100,0.0005,0.9,0,0,0,0
35,GBPAUDpro,2016.02.12,12:40,2.03641,2.03641,,,,100,0.0005,0.9,0,0,0,0
36,GBPAUDpro,2016.02.12,12:45,2.03625,2.03625,,,,100,0.0005,0.9,0,0,0,0
37,GBPAUDpro,2016.02.12,12:50,2.03596,2.03596,,,,100,0.0005,0.9,0,0,0,0
38,GBPAUDpro,2016.02.12,12:55,2.03594,2.03594,,,,100,0.0005,0.9,0,0,0,0
39,GBPAUDpro,2016.02.12,13:00,2.03572,2.03572,,,,100,0.0005,0.9,0,0,0,0
40,GBPAUDpro,2016.02.12,13:05,2.03625,2.03625,,,,100,0.0005,0.9,0,0,0,0
41,GBPAUDpro,2016.02.12,13:10,2.03566,2.03566,,,,100,0.0005,0.9,0,0,0,0
42,GBPAUDpro,2016.02.12,13:15,2.036,2.036,,,,100,0.0005,0.9,0,0,0,0
43,GBPAUDpro,2016.02.12,13:20,2.03632,2.03632,,,,100,0.0005,0.9,0,0,0,0
44,GBPAUDpro,2016.02.12,13:25,2.03542,2.03542,,,,100,0.0005,0.9,0,0,0,0
45,GBPAUDpro,2016.02.12,13:30,2.0358,2.0358,,,,100,0.0005,0.9,0,0,0,0
46,GBPAUDpro,2016.02.12,13:35,2.03662,2.03662,,,,100,0.0005,0.9,0,0,0,0
47,GBPAUDpro,2016.02.12,13:40,2.03633,2.03633,,,,100,0.0005,0.9,0,0,0,0
48,GBPAUDpro,2016.02.12,13:45,2.03745,2.03745,,,,100,0.0005,0.9,0,0,0,0
49,GBPAUDpro,2016.02.12,13:50,2.03753,2.03753,,,,100,0.0005,0.9,0,0,0,0
50,GBPAUDpro,2016.02.12,13:55,2.03618,2.03618,,,,100,0.0005,0.9,0,0,0,0
51,GBPAUDpro,2016.02.12,14:00,2.03642,2.03642,,,,100,0.0005,0.9,0,0,0,0
52,GBPAUDpro,2016.02.12,14:05,2.03656,2.03656,,,,100,0.0005,0.9,0,0,0,0
53,GBPAUDpro,2016.02.12,14:10,2.03714,2.03714,,,,100,0.0005,0.9,0,0,0,0
54,GBPAUDpro,2016.02.12,14:15,2.03949,2.03949,,,,100,0.0005,0.9,0,0,0,0
55,GBPAUDpro,2016.02.12,14:20,2.03924,2.03924,,,,100,0.0005,0.9,0,0,0,0
56,GBPAUDpro,2016.02.12,14:25,2.03879,2.03879,,,,100,0.0005,0.9,0,0,0,0
57,GBPAUDpro,2016.02.12,14:30,2.03835,2.03835,,,,100,0.0005,0.9,0,0,0,0
58,GBPAUDpro,2016.02.12,14:35,2.03811,2.03811,,,,100,0.0005,0.9,0,0,0,0
59,GBPAUDpro,2016.02.12,14:40,2.03743,2.03743,,,,100,0.0005,0.9,0,0,0,0
60,GBPAUDpro,2016.02.12,14:45,2.03701,2.03701,,,,100,0.0005,0.9,0,0,0,0
61,GBPAUDpro,2016.02.12,14:50,2.03958,2.03958,,,,100,0.0005,0.9,0,0,0,0
62,GBPAUDpro,2016.02.12,14:55,2.03934,2.03934,,,,100,0.0005,0.9,0,0,0,0
63,GBPAUDpro,2016.02.12,15:00,2.03711,2.03711,,,,100,0.0005,0.9,0,0,0,0
64,GBPAUDpro,2016.02.12,15:05,2.0357,2.0357,,,,100,0.0005,0.9,0,0,0,0
65,GBPAUDpro,2016.02.12,15:10,2.0359,2.0359,,,,100,0.0005,0.9,0,0,0,0
